data_checker,data_collector,state,statute_id,statute_name,year,estimated_amount,penalty_type,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,Notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
,Guiselle M. Delgadillo,arizona,az_9,ariz. rev. stat. ann. § 13-803(a)(4),1989,$0.00 - $2000.00,Class 3 misdemeanor – enterprise fines,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_9,ariz. rev. stat. ann. § 13-803(a)(4),2000,$0.00 - $2000.00,Class 3 misdemeanor – enterprise fines,,2000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_10,ariz. rev. stat. ann. § 13-803(a)(5),1989,$0.00 - $1000.00,Petty misdemeanor – enterprise fines,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_10,ariz. rev. stat. ann. § 13-803(a)(5),2000,$0.00 - $1000.00,Petty misdemeanor – enterprise fines,,1000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1991,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1992,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1992,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1992,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1993,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1995,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1996,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),1997,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),2013,Up to total restitution,restitution,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_11,ariz. rev. stat. ann. § 13-804(a),2018,Up to total restitution,restitution,,,,,To be paid by the defendant to any person who suffered an economic loss by the defendant's conduct.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_12,ariz. rev. stat. ann. § 13-804.01(a),2002,Up to total cost,Misdemeanor incarceration cost reimbursement,,,,,Who is sentenced to a term of incarceration to reimburse the political subdivision that is responsible for the costs of the person's incarceration for the incarceration costs.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),1992,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),1995,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),1999,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2005,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2011,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2011,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2012,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2015,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2017,Up to 10% per annum,restitution interest,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_13,ariz. rev. stat. ann. § 13-805(e),2018,Up to 10% per annum,restitution interest,,,,,Enforcement of criminal restitution order by the state includes the collection of interest that accrues at a rate of four percent a year. A restitution order does not expire until paid in full.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_14,ariz. rev. stat. ann. § 13-809(c),1992,$0.00 - $0,Law enforcement reimbursement,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_14,ariz. rev. stat. ann. § 13-809(c),1997,$0.00 - $0,Law enforcement reimbursement,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_14,ariz. rev. stat. ann. § 13-809(c),1998,$0.00 - $0,Law enforcement reimbursement,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_14,ariz. rev. stat. ann. § 13-809(c),2002,$0.00 - $0,Law enforcement reimbursement,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_14,ariz. rev. stat. ann. § 13-809(c),2015,$0.00 - $0,Law enforcement reimbursement,,,,,The court may impose an additional fine on sentencing for any offenses to require that the defendant reimburse the law enforcement agency for any public monies paid to any person.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_15,ariz. rev. stat. ann. § 13-814(a),1995,Up to total restitution,restitution to pawnbrokers,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_15,ariz. rev. stat. ann. § 13-814(a),2013,Up to total restitution,restitution to pawnbrokers,,,,,"The pawnbroker or dealer is convicted of a violation of law that is related to the stolen or pledged property, the court shall order the defendant to make restitution to the pawnbrokers pursuant to this chapter.",False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_16,ariz. rev. stat. ann. § 13-821(a)(1),1996,$1000 - $0 Additional Fine,First offense drug fines,1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_17,ariz. rev. stat. ann. § 13-821(a)(2),1996,$2000 - $0 Additional Fine,Subsequent drug offense fines,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_18,ariz. rev. stat. ann. § 13-823(a),2000,Up to five times the maximum authorized fine,Dangerous repeat offenders,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1990,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1991,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1993,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1993,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1993,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1993,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),1996,$2000.00 - $150000.00,narcotic drugs,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),2005,$2000.00 - $150000.00,narcotic drugs,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),2008,$2000.00 - $150000.00,narcotic drugs,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),2021,$2000.00 - $150000.00,narcotic drugs,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_19,ariz. rev. stat. ann. § 13-3408(f),2024,$2000.00 - $150000.00,narcotic drugs,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_20,ariz. rev. stat. ann. § 13-3111(d)(1),1993,$0.00 - $250.00,Minor possession of unloaded firearm,,250.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_20,ariz. rev. stat. ann. § 13-3111(d)(1),1993,$0.00 - $250.00,Minor possession of unloaded firearm,,250.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_20,ariz. rev. stat. ann. § 13-3111(d)(1),1997,$0.00 - $250.00,Minor possession of unloaded firearm,,250.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_20,ariz. rev. stat. ann. § 13-3111(d)(1),2006,$0.00 - $250.00,Minor possession of unloaded firearm,,250.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_21,ariz. rev. stat. ann. § 13-3111(d)(2),1993,$0.00 - $500.00,Minor possession of unloaded firearm,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_21,ariz. rev. stat. ann. § 13-3111(d)(2),1993,$0.00 - $500.00,Minor possession of unloaded firearm,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_21,ariz. rev. stat. ann. § 13-3111(d)(2),1997,$0.00 - $500.00,Minor possession of unloaded firearm,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_21,ariz. rev. stat. ann. § 13-3111(d)(2),2006,$0.00 - $500.00,Minor possession of unloaded firearm,,500.0,,,"the court may order the suspension or revocation of the person's driver license until the person reaches 18 years of age. If they don't have a driver's license at the time of the adjunction, the court may direct that the department of transportation not issue a driver license to the person until the person reaches 18 years of age.",False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_22,ariz. rev. stat. ann. § 13-3111(d)(3),1993,$0.00 - $500.00,Minor possession of firearm – driver,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_22,ariz. rev. stat. ann. § 13-3111(d)(3),1993,$0.00 - $500.00,Minor possession of firearm – driver,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_22,ariz. rev. stat. ann. § 13-3111(d)(3),1997,$0.00 - $500.00,Minor possession of firearm – driver,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_22,ariz. rev. stat. ann. § 13-3111(d)(3),2006,$0.00 - $500.00,Minor possession of firearm – driver,,500.0,,,"If the court finds that no other means of transportation is available, the driving privileges of the child may be restricted to travel between the child's home, school, and place of employment during specified periods of time according to the child's school and employment schedule.",False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_23,ariz. rev. stat. ann. § 13-1817(b),2000,Up to three times value of retail sale,Unlawful alteration of a upc label,,,,,The court may impose a fine not more than three times the value represented on the retail sales receipt or the retail price represented by the original universal product code label (felony).,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_24,ariz. rev. stat. ann. § 13-2910.09(b)(2),2009,$1000.00 - $0,Equine tripping - first offense,1000.0,,,,Class 1 misdemeanor,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_25,ariz. rev. stat. ann. § 13-2910.09(c)(2),2009,$2000.00 - $0,Equine tripping - first offense,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_26,ariz. rev. stat. ann. § 13-2910.09(d)(2),2009,$2000.00 - $0,Equine tripping - first offense,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_27,ariz. rev. stat. ann. § 13-3622(b),2011,$100.00 - $0,Furnishing tobacco/vapor products to minors,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_27,ariz. rev. stat. ann. § 13-3622(b),2012,$100.00 - $0,Furnishing tobacco/vapor products to minors,100.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_27,ariz. rev. stat. ann. § 13-3622(b),2012,$100.00 - $0,Furnishing tobacco/vapor products to minors,,500.0,,,Guilty of a petty offense,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_27,ariz. rev. stat. ann. § 13-3622(b),2013,$100.00 - $0,Furnishing tobacco/vapor products to minors,100.0,,,,Or perform not less than 30 hours of community restitution,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_28,ariz. rev. stat. ann. § 13-3622(c),2011,$100.00 - $500.00,Furnishing tobacco/vapor products to minors,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_28,ariz. rev. stat. ann. § 13-3622(c),2012,$100.00 - $500.00,Furnishing tobacco/vapor products to minors,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_28,ariz. rev. stat. ann. § 13-3622(c),2012,$100.00 - $500.00,Furnishing tobacco/vapor products to minors,,,,,"Includes cigarettes, cigarette papers of any kind, smoking tobacco of any kind, and chewing tobacco of any kind.",False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_28,ariz. rev. stat. ann. § 13-3622(c),2013,$100.00 - $500.00,Furnishing tobacco/vapor products to minors,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1990,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1990,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1991,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1993,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1994,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),1996,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),2005,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),2010,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),2018,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_29,ariz. rev. stat. ann. § 13-3405(d),2021,$750 - $0 Up to three times the value ,"Marijuana possession, use, sale – classification",750.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1989,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1990,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1990,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1991,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1991,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1992,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1993,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),1996,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,"The court shall order that as a condition of probation that person perform not less than 360 hours of community service with an agency or organization providing counseling, rehabilitation or treatment of alcohol or drug abuse.",False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),2001,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),2005,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),2005,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),2008,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_30,ariz. rev. stat. ann. § 13-3407(h),2011,$1000 - $0 Up to three times the value ,"Possession, use, sale, or transport of dangerous drugs – classification",1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1993,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1993,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1993,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1993,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1997,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),1998,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),2008,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),2021,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_31,ariz. rev. stat. ann. § 13-3409(c),2022,$2000 - $0 Up to three times the value ,Minors involved in drug offenses – classification,,,,,Class 2 felony,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_32,ariz. rev. stat. ann. § 13-2929(f),2010,$1000.00 - $0,Unlawful alien concealment – vehicle impoundment – classification,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_32,ariz. rev. stat. ann. § 13-2929(f),2010,$1000.00 - $0,Unlawful alien concealment – vehicle impoundment – classification,1000.0,,,,Class 1 misdemeanor. ,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_32,ariz. rev. stat. ann. § 13-2929(f),2014,$1000.00 - $0,Unlawful alien concealment – vehicle impoundment – classification,1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_33,ariz. rev. stat. ann. § 13-2929(f),2010,"$10000 - $0 $1,000 for each illegal alien ",Unlawful alien concealment – vehicle impoundment – classification,,,,,Except if this section involves more than ten or more illegal aliens then it's a class 6 felony.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_33,ariz. rev. stat. ann. § 13-2929(f),2010,"$10000 - $0 $1,000 for each illegal alien ",Unlawful alien concealment – vehicle impoundment – classification,1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_33,ariz. rev. stat. ann. § 13-2929(f),2014,"$10000 - $0 $1,000 for each illegal alien ",Unlawful alien concealment – vehicle impoundment – classification,1000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),1990,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,Can be three times value of drugs depending which is more expensive,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),1992,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),1993,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),1993,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),1999,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),2008,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_34,ariz. rev. stat. ann. § 13-3411(c),2011,$2000 - $0 Up to three times the value ,"Drug offenses in school zones – possession, sale, manufacture – classification",2000.0,,,,,False,True,False,False,True,range
,Guiselle M. Delgadillo,arizona,az_35,ariz. rev. stat. ann. § 13-3603.02,2011,$0.00 - $10000.00,Abortion - sex/race selection - civil relief - failure to report,,10000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_35,ariz. rev. stat. ann. § 13-3603.02,2021,$0.00 - $10000.00,Abortion - sex/race selection - civil relief - failure to report,,10000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_36,ariz. rev. stat. ann. § 13-3416,2005,Costs,probationer; payment of costs,,,,,Persons must be placed on probation for violation with a condition to participate in community restitution drug testing or anti drug abuse education may be required by the court to pay any reasonable costs associated with participation in these programs.,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_37,ariz. rev. stat. ann. § 13-3406(c),1990,$1000.00 - $1000.00,"Possession, sale, or transport of prescription drugs – misbranded – classification",,,1000.0,,,False,False,False,True,True,fixed
