la,statute_id,statute_name,estimated_amount,penalty_type,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
Cassandra Fuentes,ms_468,miss. code ann. § 97-29-43,$25 - $500,polygamy; teaching of,1892.0,25.0,25.0,,jail 1-6 mo,,False,True,True,False,True,range
Cassandra Fuentes,ms_469,miss. code ann. § 97-29-45 (2),$0 - $500,obscene electronic communications; first offense,2001.0,,,,jail 6 mo max,,False,False,False,False,False,none
Cassandra Fuentes,ms_469,miss. code ann. § 97-29-45 (2),$0 - $500,obscene electronic communications; first offense,2002.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_470,miss. code ann. § 97-29-45 (3),$0 - $1000,obscene electronic communications; second offense within 5 years,2001.0,,,,jail 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_470,miss. code ann. § 97-29-45 (3),$0 - $1000,obscene electronic communications; second offense within 5 years,2002.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_471,miss. code ann. § 97-29-45 (4),$0 - $2000,obscene electronic communications; subsequent offense within 5 years,2001.0,,,,jail 2 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_471,miss. code ann. § 97-29-45 (4),$0 - $2000,obscene electronic communications; subsequent offense within 5 years,2002.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_472,miss. code ann. § 97-29-47,$0 - $100,profanity or drunkenness in public place,1848.0,,,,jail 30 days,,False,False,False,False,False,none
Cassandra Fuentes,ms_473,miss. code ann. § 97-29-49,$0 - $200,prostitution,2013.0,,,,jail 6 mo max,,False,False,False,False,False,none
Cassandra Fuentes,ms_473,miss. code ann. § 97-29-49,$0 - $200,prostitution,2019.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_474,miss. code ann. § 97-29-51 (1)(b),$0 - $200,prostitution; misdemeanor procuring services of prostitute; first offense,2013.0,,,,jail 6 mo max,,False,False,False,False,False,none
Cassandra Fuentes,ms_474,miss. code ann. § 97-29-51 (1)(b),$0 - $200,prostitution; misdemeanor procuring services of prostitute; first offense,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_475,miss. code ann. § 97-29-51 (1)(b),$0 - $1000,prostitution; misdemeanor procuring services of prostitute; subsequent offense,2013.0,,,,imprisonment 2 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_475,miss. code ann. § 97-29-51 (1)(b),$0 - $1000,prostitution; misdemeanor procuring services of prostitute; subsequent offense,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_476,miss. code ann. § 97-29-51 (1)(c),$50000 - $500000,prostitution; procuring services of a minor,2013.0,50000.0,50000.0,,imprisonment 5-30 yrs,,False,True,True,False,True,range
Cassandra Fuentes,ms_476,miss. code ann. § 97-29-51 (1)(c),$50000 - $500000,prostitution; procuring services of a minor,2022.0,50000.0,50000.0,,,,False,True,True,False,True,range
Cassandra Fuentes,ms_477,miss. code ann. § 97-29-51 (2)(vi)(b),$0 - $5000,felony promoting prostitution; first offense,2013.0,,,,imprisonment 10 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_477,miss. code ann. § 97-29-51 (2)(vi)(b),$0 - $5000,felony promoting prostitution; first offense,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_478,miss. code ann. § 97-29-51 (2)(vi)(b),$0 - $20000,felony promoting prostitution; subsequent offense,2013.0,,,,imprisonment 20 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_478,miss. code ann. § 97-29-51 (2)(vi)(b),$0 - $20000,felony promoting prostitution; subsequent offense,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_479,miss. code ann. § 97-29-51 (2)(vi)(c),$0 - $500000,felony promoting prostitution of a minor,2013.0,50000.0,50000.0,,imprisonment 5-30 yrs,,False,True,True,False,True,range
Cassandra Fuentes,ms_479,miss. code ann. § 97-29-51 (2)(vi)(c),$0 - $500000,felony promoting prostitution of a minor,2022.0,50000.0,50000.0,,,,False,True,True,False,True,range
Cassandra Fuentes,ms_480,miss. code ann. § 97-29-51 (4),$0 - $50000,felony promoting prostitution by a partnership or other entity,2013.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_480,miss. code ann. § 97-29-51 (4),$0 - $50000,felony promoting prostitution by a partnership or other entity,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_481,miss. code ann. § 97-29-51 (4),$0 - $1000000,felony promoting prostitution of a minor by a partnership or other entity,2013.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_481,miss. code ann. § 97-29-51 (4),$0 - $1000000,felony promoting prostitution of a minor by a partnership or other entity,2022.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_482,miss. code ann. § 97-29-57,$25 - $0,stallion or jack not to be kept in public view or permitted to run at large,1892.0,25.0,25.0,,,,False,True,True,False,True,range
Cassandra Fuentes,ms_483,miss. code ann. § 97-29-57,damages,stallion or jack not to be kept in public view or permitted to run at large,1892.0,,,,liable for all damage costs,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of an adult in a private setting,1999.0,,,,imprisonment 5 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of an adult in a private setting,2012.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of an adult in a private setting,2015.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of a child under 16 in a private setting,1999.0,,,,imprisonment 10 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of a child under 16 in a private setting,2012.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_484,miss. code ann. § 97-29-63,"$5,000",unauthorized photographing/filming of a child under 16 in a private setting,2015.0,,,,,,False,False,False,False,False,none
Cassandra Fuentes,ms_486,miss. code ann. § 97-29-65,$0 - $10000,"strip clubs prohibited within 1/4 mile of schools, churches, or courthouses",2000.0,,,,imprisonment 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_487,miss. code ann. § 97-29-109,$0 - $5000,distribution of unlawful sexual devices; first offense,1983.0,,,,imprisonment 6 mo max,,False,False,False,False,False,none
Cassandra Fuentes,ms_488,miss. code ann. § 97-29-109,$2500 - $10000,distribution of unlawful sexual devices; subsequent offense,1983.0,2500.0,2500.0,,imprisonment 1 yr max,,False,True,True,False,True,range
Cassandra Fuentes,ms_489,miss. code ann. § 97-29-109,$0 - $10000,wholesale distribution of unlawful sexual devices; first offense,1983.0,,,,imprisonment 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_490,miss. code ann. § 97-29-109,$2500 - $50000,wholesale distribution of unlawful sexual devices; subsequent offense,1983.0,2500.0,2500.0,,imprisonment 1 yr max,,False,True,True,False,True,range
Cassandra Fuentes,ms_491,miss. code ann. § 97-29-109,$1000 - $10000,distribution of unlawful sexual devices by a company; first offense,1983.0,1000.0,1000.0,,,,False,True,True,False,True,range
Cassandra Fuentes,ms_492,miss. code ann. § 97-29-109,$5000 - $50000,distribution of unlawful sexual devices by a company; subsequent offense,1983.0,2500.0,2500.0,,,,False,True,True,False,True,range
Cassandra Fuentes,ms_493,miss. code ann. § 97-31-11,$0 - $300,ginger preparations; extracts,1930.0,,,,jail 90 day max,,False,False,False,False,False,none
Cassandra Fuentes,ms_494,miss. code ann. § 97-31-15,$100 - $500,delivery of alcohol or wine to someone other than the consignee requires an affidavit; penalty for false affidavit,1921.0,100.0,100.0,,jail 30 day max,,False,True,True,False,True,range
Cassandra Fuentes,ms_495,miss. code ann. § 97-31-27 (a),$100 - $500,"sale, possession, etc. of intoxicating beverages prohibited; first offense",1848.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_372,miss. code ann. § 97-23-93.1 (2)(e),$0 - $1000,shoplifting; possession or distribution of theft detection device,2001.0,250.0,250.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_373,miss. code ann. § 97-23-93.1 (3)(b),$100 - $500,shoplifting; removal of theft detection device,2001.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_374,miss. code ann. § 97-23-94 (1)(a),$0 - $750,aiding and abetting shoplifting by minor; first offense,1994.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_374,miss. code ann. § 97-23-94 (1)(a),$0 - $750,aiding and abetting shoplifting by minor; first offense,2014.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_375,miss. code ann. § 97-23-94 (1)(b),$0 - $1000,aiding and abetting shoplifting by minor; second offense,1994.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_375,miss. code ann. § 97-23-94 (1)(b),$0 - $1000,aiding and abetting shoplifting by minor; second offense,2014.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_376,miss. code ann. § 97-23-94 (1)(c),$0 - $1000,aiding and abetting shoplifting by minor; third or subsequent offense,1994.0,,,1000.0,,,False,False,False,True,True,fixed
Clark J. Griffin,ms_376,miss. code ann. § 97-23-94 (1)(c),$0 - $1000,aiding and abetting shoplifting by minor; third or subsequent offense,2014.0,,,1000.0,,,False,False,False,True,True,fixed
Clark J. Griffin,ms_377,miss. code ann. § 97-23-94 (2),restitution double the value,aiding and abetting shoplifting by minor; restitution,1994.0,,,,resitution double in value to what was stolen,,False,False,False,False,False,none
Clark J. Griffin,ms_377,miss. code ann. § 97-23-94 (2),restitution double the value,aiding and abetting shoplifting by minor; restitution,2014.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_378,miss. code ann. § 97-23-99,$0 - $1000,giving away of merchandise by employee without authorization of merchant,1996.0,250.0,250.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_379,miss. code ann. § 97-23-101,"$500,000 - $0 or up to double property value",laundering of monetary instruments,1998.0,,,,"$500000 or double the value of the property, which ever is higher,  whoever conducts the transaction is charged either the value of the money or $10000",,False,False,False,False,False,none
Clark J. Griffin,ms_380,miss. code ann. § 97-23-103 (5)(a),$0 - $1000,"home repair fraud; value less than $5,000; first offense",2003.0,5000.0,5000.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_380,miss. code ann. § 97-23-103 (5)(a),$0 - $1000,"home repair fraud; value less than $5,000; first offense",2006.0,5000.0,5000.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_381,miss. code ann. § 97-23-103 (5)(c)(i),$0 - $10000,"home repair fraud; value between $5,000 and $10,000",2003.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_381,miss. code ann. § 97-23-103 (5)(c)(i),$0 - $10000,"home repair fraud; value between $5,000 and $10,000",2006.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_382,miss. code ann. § 97-23-103 (5)(c)(ii),$0 - $10000,"home repair fraud; value $10,000 or greater",2003.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_382,miss. code ann. § 97-23-103 (5)(c)(ii),$0 - $10000,"home repair fraud; value $10,000 or greater",2006.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_383,miss. code ann. § 97-23-103 (6),restitution,home repair fraud; restitution,2003.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_383,miss. code ann. § 97-23-103 (6),restitution,home repair fraud; restitution,2006.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_384,miss. code ann. § 97-23-105 (1),$0 - $5000,falsely using or producing retail sales receipts and universal product codes,2005.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_385,miss. code ann. § 97-23-105 (2),$0 - $10000,fraudulent use/production of 15+ retail receipts or upcs,2005.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_386,miss. code ann. § 97-23-107 (5)(a),$0 - $5000,residential mortgage fraud,2007.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_387,miss. code ann. § 97-23-107 (5)(b),$0 - $100000,pattern of residential mortgage fraud,2007.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_388,miss. code ann. § 97-23-109 (3),$0 - $500,mass picketing by union,2015.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1848.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1857.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1871.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1880.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1892.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1906.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1917.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_496,miss. code ann. § 97-31-27 (b),$100 - $0,"sale, possession, etc. of intoxicating beverages prohibited; second offense",1930.0,100.0,100.0,,,openly not enforced beforehand,False,True,True,False,True,range
Clark J. Griffin,ms_497,miss. code ann. § 97-31-29,$100 - $0,sale or possession of intoxicating beverages prohibited; penalties for agents or assistants.,1892.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_497,miss. code ann. § 97-31-29,$100 - $0,sale or possession of intoxicating beverages prohibited; penalties for agents or assistants.,1917.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_497,miss. code ann. § 97-31-29,$100 - $0,sale or possession of intoxicating beverages prohibited; penalties for agents or assistants.,1930.0,,,,,No information on bill beforehand,False,False,False,False,False,none
Clark J. Griffin,ms_497,miss. code ann. § 97-31-29,$100 - $0,sale or possession of intoxicating beverages prohibited; penalties for agents or assistants.,1942.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_498,miss. code ann. § 97-31-31,$100 - $500,sale or possession of intoxicating beverages prohibited; owner or occupant connivance penalized.,1857.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_498,miss. code ann. § 97-31-31,$100 - $500,sale or possession of intoxicating beverages prohibited; owner or occupant connivance penalized.,1917.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_498,miss. code ann. § 97-31-31,$100 - $500,sale or possession of intoxicating beverages prohibited; owner or occupant connivance penalized.,1930.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_498,miss. code ann. § 97-31-31,$100 - $500,sale or possession of intoxicating beverages prohibited; owner or occupant connivance penalized.,1942.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1857.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1871.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1880.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1906.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1917.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1930.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1988.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_499,miss. code ann. § 97-31-35,$0 - $10000,"alcohol sale, possession, or use in correctional facilities prohibited; employee knowledge penalized",1998.0,,,,,Bill is different from what it used to be,False,False,False,False,False,none
Clark J. Griffin,ms_500,miss. code ann. § 97-31-35_1,$0 - $10000,alcohol in correctional facilities prohibited; penalties for employee knowledge.,1998.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_501,miss. code ann. § 97-31-35_2,$0 - $10000,alcohol in correctional facilities prohibited; penalties for employee knowledge.,1998.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_502,miss. code ann. § 97-31-35_3,$0 - $10000,alcohol in correctional facilities prohibited; penalties for employee knowledge.,1998.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_503,miss. code ann. § 97-31-35_3,$0 - $10000,alcohol in correctional facilities prohibited; penalties for employee knowledge.,1998.0,,,,see miss. code ann. § 97-31-35,,False,False,False,False,False,none
Clark J. Griffin,ms_504,miss. code ann. § 97-31-45,$50 - $500,sale of alcohol by druggists; penalties for certain violations; first offense,1917.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_504,miss. code ann. § 97-31-45,$50 - $500,sale of alcohol by druggists; penalties for certain violations; first offense,1942.0,50.0,50.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1018,miss. code ann. § 75-85-19,$0 - $500,transient vendor; penalties for violation of chapter,1988.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1019,miss. code ann. § 75-89-25 (1)(b),$0 - $25000,"mississippi commodities enforcement act: penalties, statute of limitations, and initiation of criminal proceedings.",1993.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1020,miss. code ann. § 75-93-31,$0 - $500,fictitious business name registration act; penalty for fraudulent filings,2010.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1021,miss. code ann. § 75-95-11,$0 - $1000,business of purchasing precious items for resale: penalties for violation of chapter.,2011.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1022,miss. code ann. § 75-95-11,$0 - $1000,caller id anti-spoofing act; penalties,2011.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$100 - $500,motor carriers; penalties; first offense,1942.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$100 - $500,motor carriers; penalties; first offense,1993.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$100 - $500,motor carriers; penalties; first offense,2021.0,100.0,100.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$500-1000,motor carriers; penalties; subsequent offense,1942.0,500.0,500.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$500-1000,motor carriers; penalties; subsequent offense,1993.0,500.0,500.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1023,miss. code ann. § 77-7-311 (1),$500-1000,motor carriers; penalties; subsequent offense,2021.0,500.0,500.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1025,miss. code ann. § 77-7-311 (2),$100 - $500,motor carriers; penalties; discrimination in service or pricing; first offense,1942.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1025,miss. code ann. § 77-7-311 (2),$100 - $500,motor carriers; penalties; discrimination in service or pricing; first offense,1993.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1025,miss. code ann. § 77-7-311 (2),$100 - $500,motor carriers; penalties; discrimination in service or pricing; first offense,2021.0,100.0,100.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1026,miss. code ann. § 77-7-311 (2),$500 - $1000,motor carriers: penalties for discrimination in service or pricing; subsequent offense.,1942.0,500.0,500.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1026,miss. code ann. § 77-7-311 (2),$500 - $1000,motor carriers: penalties for discrimination in service or pricing; subsequent offense.,1993.0,500.0,500.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1026,miss. code ann. § 77-7-311 (2),$500 - $1000,motor carriers: penalties for discrimination in service or pricing; subsequent offense.,2021.0,500.0,500.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1027,miss. code ann. § 77-7-311 (3),$100 - $1000,motor carriers; penalties; failure to stop for inspection,1942.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1027,miss. code ann. § 77-7-311 (3),$100 - $1000,motor carriers; penalties; failure to stop for inspection,1993.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1027,miss. code ann. § 77-7-311 (3),$100 - $1000,motor carriers; penalties; failure to stop for inspection,2021.0,100.0,100.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1028,miss. code ann. § 77-7-311 (4),$200 - $500,motor carriers; penalties; violation of section 77-7-16; first offense,1942.0,200.0,200.0,,,Each day of violation shall constitute a separate offense.,False,True,True,False,True,range
Clark J. Griffin,ms_1028,miss. code ann. § 77-7-311 (4),$200 - $500,motor carriers; penalties; violation of section 77-7-16; first offense,1993.0,200.0,200.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1028,miss. code ann. § 77-7-311 (4),$200 - $500,motor carriers; penalties; violation of section 77-7-16; first offense,2021.0,200.0,200.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1029,miss. code ann. § 77-7-311 (4),$500 - $1000,motor carriers; penalties; violation of section 77-7-16; subsequent offense,1942.0,500.0,500.0,,,Each day of violation shall constitute a separate offense.,False,True,True,False,True,range
Clark J. Griffin,ms_1029,miss. code ann. § 77-7-311 (4),$500 - $1000,motor carriers; penalties; violation of section 77-7-16; subsequent offense,1993.0,500.0,500.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1029,miss. code ann. § 77-7-311 (4),$500 - $1000,motor carriers; penalties; violation of section 77-7-16; subsequent offense,2021.0,500.0,500.0,,,"The 2021 amendment, in (3), inserted “or the department.”",False,True,True,False,True,range
Clark J. Griffin,ms_1030,miss. code ann. § 77-7-311 (5),"$1,000",motor carriers; penalties; operating out of service vehicle,1942.0,,,1000.0,,,False,False,False,True,True,fixed
Clark J. Griffin,ms_1030,miss. code ann. § 77-7-311 (5),1000,motor carriers; penalties; operating out of service vehicle,1993.0,,,1000.0,,,False,False,False,True,True,fixed
Clark J. Griffin,ms_1030,miss. code ann. § 77-7-311 (5),1000,motor carriers; penalties; operating out of service vehicle,2021.0,,,1000.0,,"The 2021 amendment, in (3), inserted “or the department.”",False,False,False,True,True,fixed
Clark J. Griffin,ms_1031,miss. code ann. § 77-9-33,$100 - $1000,railroads and other common carriers; penalty,1917.0,100.0,100.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1032,miss. code ann. § 77-9-603,$0 - $1000,express companies; penalty for violation,1906.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1033,miss. code ann. § 81-1-77,$0 - $1000,department of banking and consumer finance: officers or employees prohibited from borrowing money or endorsing notes to state banks; penalties.,1990.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1033,miss. code ann. § 81-1-77,$0 - $1000,department of banking and consumer finance: officers or employees prohibited from borrowing money or endorsing notes to state banks; penalties.,1993.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1033,miss. code ann. § 81-1-77,$0 - $1000,department of banking and consumer finance: officers or employees prohibited from borrowing money or endorsing notes to state banks; penalties.,1994.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1033,miss. code ann. § 81-1-77,$0 - $1000,department of banking and consumer finance: officers or employees prohibited from borrowing money or endorsing notes to state banks; penalties.,1997.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1033,miss. code ann. § 81-1-77,$0 - $1000,department of banking and consumer finance: officers or employees prohibited from borrowing money or endorsing notes to state banks; penalties.,2001.0,,,,,,False,False,False,False,False,none
Clark J. Griffin,ms_1034,miss. code ann. § 81-1-85,$1000 - $2500,department of banking and consumer finance: witness attendance may be compelled; penalty for false statements.,1990.0,1000.0,1000.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1034,miss. code ann. § 81-1-85,$1000 - $2500,department of banking and consumer finance: witness attendance may be compelled; penalty for false statements.,1993.0,1000.0,1000.0,,,,False,True,True,False,True,range
Clark J. Griffin,ms_1034,miss. code ann. § 81-1-85,$1000 - $2500,department of banking and consumer finance: witness attendance may be compelled; penalty for false statements.,1994.0,1000.0,1000.0,,,,False,True,True,False,True,range
